Gene,Locus Tag,Protein
araA,STM14_0121,L-arabinose isomerase
araB,STM14_0122,ribulokinase
araC,STM14_0123,DNA-binding transcriptional regulator AraC
yabI,STM14_0124,hypothetical protein
thiQ,STM14_0125,thiamine transporter ATP-binding subunit
thiP,STM14_0126,thiamine transporter membrane protein
tbpA,STM14_0127,thiamine transporter substrate binding subunit
,STM14_0128,putative lipoprotein
yabN,STM14_0129,transcriptional regulator SgrR
,STM14_0130,hypothetical protein
leuD,STM14_0131,isopropylmalate isomerase small subunit
leuC,STM14_0132,isopropylmalate isomerase large subunit
leuB,STM14_0133,3-isopropylmalate dehydrogenase
leuA,STM14_0134,2-isopropylmalate synthase
leuL,STM14_0135,leu operon leader peptide
,STM14_0136,hypothetical protein
,STM14_0137,hypothetical protein
leuO,STM14_0138,leucine transcriptional activator
ilvI,STM14_0139,acetolactate synthase 3 catalytic subunit
ilvH,STM14_0140,acetolactate synthase 3 regulatory subunit
,STM14_0141,hypothetical protein
fruR,STM14_0142,DNA-binding transcriptional regulator FruR
,STM14_0143,hypothetical protein
,STM14_0144,hypothetical protein
yabB,STM14_0145,cell division protein MraZ
mraW,STM14_0146,S-adenosyl-methyltransferase MraW
ftsL,STM14_0147,cell division protein FtsL
ftsI,STM14_0148,division specific transpeptidase
murE,STM14_0149,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase"
murF,STM14_0150,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
mraY,STM14_0151,phospho-N-acetylmuramoyl-pentapeptide- transferase
murD,STM14_0152,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
ftsW,STM14_0153,cell division protein FtsW
murG,STM14_0154,N-acetylglucosaminyl transferase
murC,STM14_0155,UDP-N-acetylmuramate--L-alanine ligase
ddl_2,STM14_0156,D-alanine--D-alanine ligase
ftsQ,STM14_0157,cell division protein FtsQ
ftsA,STM14_0158,cell division protein FtsA
ftsZ,STM14_0159,cell division protein FtsZ
lpxC,STM14_0160,UDP-3-O-[3-hydroxymyristoyl
yacA,STM14_0161,SecA regulator SecM
secA,STM14_0162,preprotein translocase subunit SecA
mutT,STM14_0163,nucleoside triphosphate pyrophosphohydrolase
,STM14_0164,
,STM14_0165,"putative transcriptional regulator, LysR family"
yacG,STM14_0166,zinc-binding protein
yacF,STM14_0167,hypothetical protein
coaE,STM14_0168,dephospho-CoA kinase
guaC,STM14_0169,guanosine 5'-monophosphate oxidoreductase
hofC,STM14_0170,type IV pilin biogenesis protein
hofB,STM14_0171,hypothetical protein
ppdD,STM14_0172,putative major pilin subunit
,STM14_0173,hypothetical protein
nadC,STM14_0174,quinolinate phosphoribosyltransferase
ampD,STM14_0175,N-acetyl-anhydromuranmyl-L-alanine amidase
ampE,STM14_0176,regulatory protein AmpE
,STM14_0177,putative cytoplasmic protein
,STM14_0178,Na+/galactoside symporter
,STM14_0179,hypothetical protein
aroP,STM14_0180,aromatic amino acid transporter
,STM14_0181,hypothetical protein
pdhR,STM14_0182,transcriptional regulator PdhR
aceE,STM14_0183,pyruvate dehydrogenase subunit E1
aceF,STM14_0184,dihydrolipoamide acetyltransferase
lpdA,STM14_0185,dihydrolipoamide dehydrogenase
,STM14_0186,hypothetical protein
,STM14_0187,putative outer membrane protein
,STM14_0188,putative periplasmic protein
yacH,STM14_0189,
acnB,STM14_0190,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
,STM14_0191,putative restriction endonuclease
yacL,STM14_0192,hypothetical protein
kdgT,STM14_0193,2-keto-3-deoxygluconate permease
,STM14_0194,putative inner membrane protein
pdxA_2,STM14_0195,4-hydroxythreonine-4-phosphate dehydrogenase 2
,STM14_0196,putative transcriptional regulator
speD,STM14_0197,S-adenosylmethionine decarboxylase
speE,STM14_0198,spermidine synthase
yacC,STM14_0199,putative periplasmic protein
cueO,STM14_0200,multicopper oxidase
gcd,STM14_0201,glucose dehydrogenase
hpt,STM14_0202,hypoxanthine-guanine phosphoribosyltransferase
yadF,STM14_0203,carbonic anhydrase
yadG,STM14_0204,putative ABC-type multidrug transport system ATPase component
yadH,STM14_0205,putative transport protein
stiH,STM14_0206,putative fimbrial protein precurosr
stiC,STM14_0207,putative fimbrial usher
stiB,STM14_0208,putative fimbrial chaparone
stiA,STM14_0209,putative fimbrial subunit
,STM14_0210,hypothetical protein
yadI,STM14_0211,putative PTS enzyme
yadE,STM14_0212,putative xylanase/chitin deacetylase
panD,STM14_0213,aspartate alpha-decarboxylase
panC,STM14_0214,pantoate--beta-alanine ligase
,STM14_0215,hypothetical protein
panB,STM14_0216,3-methyl-2-oxobutanoate hydroxymethyltransferase
folK,STM14_0217,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
pcnB,STM14_0218,poly(A) polymerase I
yadB,STM14_0219,glutamyl-Q tRNA(Asp) synthetase
dksA,STM14_0220,DnaK transcriptional regulator DksA
sfsA,STM14_0221,sugar fermentation stimulation protein A
ligT,STM14_0222,2'-5' RNA ligase
hrpB,STM14_0223,ATP-dependent RNA helicase HrpB
,STM14_0224,hypothetical protein
,STM14_0225,hypothetical protein
mrcB,STM14_0226,penicillin-binding protein 1b
,STM14_0227,hypothetical protein
fhuA,STM14_0228,ferrichrome outer membrane transporter
fhuC,STM14_0229,iron-hydroxamate transporter ATP-binding subunit
fhuD,STM14_0230,iron-hydroxamate transporter substrate-binding subunit
fhuB,STM14_0231,iron-hydroxamate transporter permease subunit
,STM14_0232,hypothetical protein
,STM14_0233,hypothetical protein
stfA,STM14_0234,putative fimbrial subunit
stfC,STM14_0235,putative fimbrial outer membrane usher
stfD,STM14_0236,putative periplasmic fimbrial chaperone
stfE,STM14_0237,putative minor fimbrial subunit
stfF,STM14_0238,putative minor fimbrial subunit
stfG,STM14_0239,putative minor fimbrial subunit
,STM14_0240,putative outer membrane protein
hemL,STM14_0241,glutamate-1-semialdehyde aminotransferase
,STM14_0242,hypothetical protein
yadQ,STM14_0243,chloride channel protein
yadR,STM14_0244,iron-sulfur cluster insertion protein ErpA
yadS,STM14_0245,hypothetical protein
btuF,STM14_0246,vitamin B12-transporter protein BtuF
pfs,STM14_0247,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
dgt,STM14_0248,deoxyguanosinetriphosphate triphosphohydrolase
htrA,STM14_0249,serine endoprotease
cdaR,STM14_0250,carbohydrate diacid transcriptional activator CdaR
yaeH,STM14_0251,hypothetical protein
,STM14_0252,
dapD,STM14_0253,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"
glnD,STM14_0254,PII uridylyl-transferase
map,STM14_0255,methionine aminopeptidase
,STM14_0256,30S ribosomal protein S2
rpsB,STM14_0257,30S ribosomal protein S2
tsf,STM14_0258,elongation factor Ts
pyrH,STM14_0259,uridylate kinase
frr,STM14_0260,ribosome recycling factor
dxr,STM14_0261,1-deoxy-D-xylulose 5-phosphate reductoisomerase
,STM14_0262,hypothetical protein
uppS,STM14_0263,undecaprenyl pyrophosphate synthase
cdsA,STM14_0264,CDP-diglyceride synthase
yaeL,STM14_0265,zinc metallopeptidase
yaeT,STM14_0266,outer membrane protein assembly factor YaeT
hlpA,STM14_0267,periplasmic chaperone
lpxD,STM14_0268,UDP-3-O-[3-hydroxymyristoyl
fabZ,STM14_0269,(3R)-hydroxymyristoyl-ACP dehydratase
lpxA,STM14_0270,UDP-N-acetylglucosamine acyltransferase
lpxB,STM14_0271,lipid-A-disaccharide synthase
rnhB,STM14_0272,ribonuclease HII
dnaE,STM14_0273,DNA polymerase III subunit alpha
accA,STM14_0274,acetyl-CoA carboxylase carboxyltransferase subunit alpha
,STM14_0275,putative endochitinase
ldcC,STM14_0276,lysine decarboxylase 2
yaeR,STM14_0277,hypothetical protein
tilS,STM14_0278,tRNA(Ile)-lysidine synthetase
rof,STM14_0279,Rho-binding antiterminator
yaeP,STM14_0280,hypothetical protein
yaeQ,STM14_0281,putative cytoplasmic protein
yaeJ,STM14_0282,hypothetical protein
cutF,STM14_0283,
proS,STM14_0284,prolyl-tRNA synthetase
yaeB,STM14_0285,putative regulatory protein
rcsF,STM14_0286,outer membrane lipoprotein
metQ,STM14_0287,DL-methionine transporter substrate-binding subunit
yaeE,STM14_0288,DL-methionine transporter permease subunit
metN,STM14_0289,DL-methionine transporter ATP-binding subunit
yaeD,STM14_0290,"D,D-heptose 1,7-bisphosphate phosphatase"
,STM14_0291,hypothetical protein
,STM14_0292,hypothetical protein
,STM14_0296,hypothetical protein
dkgB,STM14_0300,"2,5-diketo-D-gluconate reductase B"
yafC,STM14_0301,putative transcriptional regulator
,STM14_0302,putative drug efflux protein
yafD,STM14_0303,hypothetical protein
yafE,STM14_0304,putative methyltransferase
dniR,STM14_0305,membrane-bound lytic murein transglycosylase D
gloB,STM14_0306,hydroxyacylglutathione hydrolase
yafS,STM14_0307,putative SAM-dependent methyltransferase
rnhA,STM14_0308,ribonuclease H
dnaQ,STM14_0309,DNA polymerase III subunit epsilon
,STM14_0310,hypothetical protein
,STM14_0312,hypothetical protein
,STM14_0313,putative cytoplasmic protein
,STM14_0314,putative cytoplasmic protein
,STM14_0315,putative cytoplasmic protein
,STM14_0316,putative cytoplasmic protein
,STM14_0317,putative cytoplasmic protein
,STM14_0318,putative cytoplasmic protein
,STM14_0319,putative chaperone ATPase
,STM14_0320,putative cytoplasmic protein
,STM14_0321,putative cytoplasmic protein
,STM14_0322,invasol SirA
,STM14_0323,putative cytoplasmic protein
,STM14_0324,putative cytoplasmic protein
,STM14_0325,putative cytoplasmic protein
,STM14_0326,putative periplasmic protein
,STM14_0327,putative cytoplasmic protein
,STM14_0328,putative outer membrane lipoprotein
,STM14_0329,putative cytoplasmic protein
,STM14_0330,hypothetical protein
,STM14_0331,putative inner membrane protein
,STM14_0332,putative Shiga-like toxin A subunit
,STM14_0333,putative inner membrane protein
,STM14_0334,putative cytoplasmic protein
,STM14_0335,putative periplasmic protein
,STM14_0336,putative cytoplasmic protein
,STM14_0337,hypothetical protein
,STM14_0338,putative cytoplasmic protein
,STM14_0339,putative cytoplasmic protein
,STM14_0340,putative RHS-like protein
,STM14_0341,putative RHS-like protein
,STM14_0342,putative cytoplasmic protein
,STM14_0343,hypothetical protein
,STM14_0344,hypothetical protein
,STM14_0345,putative cytoplasmic protein
,STM14_0346,hypothetical protein
,STM14_0348,putative cytoplasmic protein
,STM14_0350,putative transposase
safA,STM14_0352,putative outer membrane protein
safB,STM14_0353,putative fimbrial assembly chaparone
safC,STM14_0354,putative fimbrial usher
safD,STM14_0355,putative fimbrial subunit
ybeJ,STM14_0356,putative xylanase/chitin deacetylase
,STM14_0357,hypothetical protein
sinR,STM14_0358,transcriptional regulator
,STM14_0359,putative cytoplasmic protein
,STM14_0360,SapA-like protein
,STM14_0361,hypothetical protein
,STM14_0362,VirG-like protein
,STM14_0363,hypothetical protein
yafV,STM14_0364,hypothetical protein
fadE,STM14_0365,acyl-CoA dehydrogenase
gmhA,STM14_0366,phosphoheptose isomerase
yafJ,STM14_0367,putative glutamine amidotransferase
yafK,STM14_0368,putative periplasmic protein
dinP,STM14_0369,DNA polymerase IV
,STM14_0370,
prfH,STM14_0371,peptide chain release factor-like protein
pepD,STM14_0372,aminoacyl-histidine dipeptidase
gpt,STM14_0373,xanthine-guanine phosphoribosyltransferase
frsA,STM14_0374,fermentation/respiration switch protein
crl,STM14_0375,DNA-binding transcriptional regulator Crl
phoE,STM14_0376,outer membrane phosphoporin protein E
,STM14_0377,conserved hypothetical protein
proB,STM14_0378,gamma-glutamyl kinase
proA,STM14_0379,gamma-glutamyl phosphate reductase
,STM14_0381,IS3 transposase
,STM14_0382,
,STM14_0383,putative cytoplasmic protein
,STM14_0384,putative permease
,STM14_0385,isopropylmalate isomerase large subunit
,STM14_0386,putative 3-isopropylmalate isomerase
,STM14_0387,putative fumarylacetoacetate hydrolase
,STM14_0388,putative hydrolase/acyltransferase
,STM14_0389,putative transcriptional regulator
,STM14_0390,putative cytoplasmic protein
,STM14_0391,putative outer membrane protein
stbE,STM14_0392,putative fimbrial chaparone
stbD,STM14_0393,putative fimbrial usher
stbC,STM14_0394,putative fimbrial usher
stbB,STM14_0395,putative fimbrial chaperone
stbA,STM14_0396,putative fimbrial major subunit
,STM14_0397,hypothetical protein
,STM14_0398,putative inner membrane protein
,STM14_0399,putative periplasmic protein
,STM14_0400,hypothetical protein
,STM14_0401,putative response regulator
,STM14_0402,putative inner membrane protein
,STM14_0403,hypothetical protein
,STM14_0404,putative outer membrane protein
,STM14_0405,putative response regulator
,STM14_0406,putative inner membrane protein
,STM14_0407,putative outer membrane lipoprotein
,STM14_0408,outer membrane efflux-like protein
,STM14_0409,putative cation efflux system protein
,STM14_0410,putative cation efflux pump
,STM14_0411,hypothetical protein
,STM14_0412,putative cation transport ATPase
,STM14_0413,putative transcriptional regulator
,STM14_0414,putative copper chaperone
,STM14_0415,putative metal-binding transport protein
,STM14_0416,putative inner membrane protein
mod,STM14_0417,DNA methylase
res,STM14_0418,DNA restriction enzyme
,STM14_0419,hypothetical protein
,STM14_0420,hypothetical protein
,STM14_0421,putative cytoplasmic protein
,STM14_0422,cytochrome BD2 subunit I
,STM14_0423,cytochrome BD2 subunit II
,STM14_0424,putative cytoplasmic protein
,STM14_0425,putative transcriptional regulator
foxA,STM14_0426,ferrioxamine receptor
yahN,STM14_0427,putative transport protein
yahO,STM14_0428,hypothetical protein
prpR,STM14_0429,prp operon regulator
,STM14_0430,hypothetical protein
prpB,STM14_0431,2-methylisocitrate lyase
prpC,STM14_0432,methylcitrate synthase
prpD,STM14_0433,2-methylcitrate dehydratase
prpE,STM14_0434,propionyl-CoA synthetase
hemB,STM14_0435,delta-aminolevulinic acid dehydratase
,STM14_0436,hypothetical protein
,STM14_0437,hypothetical protein
yaiU,STM14_0438,flagellar protein
yaiV,STM14_0439,putative DNA-binding transcriptional regulator
ampH,STM14_0440,beta-lactamase/D-alanine carboxypeptidase
,STM14_0441,hypothetical protein
,STM14_0442,conserved hypothetical protein
sbmA,STM14_0443,transport protein
yaiW,STM14_0444,putative outer membrane lipoprotein
yaiY,STM14_0445,putative inner membrane protein
,STM14_0446,hypothetical protein
yaiZ,STM14_0447,putative inner membrane protein
ddl_1,STM14_0448,D-alanyl-alanine synthetase A
,STM14_0449,putative inner membrane protein
,STM14_0450,putative permease
,STM14_0451,hypothetical protein
yaiB,STM14_0452,hypothetical protein
,STM14_0453,hypothetical protein
psiF,STM14_0454,hypothetical protein
yaiC,STM14_0455,diguanylate cyclase AdrA
proC,STM14_0456,pyrroline-5-carboxylate reductase
,STM14_0457,hypothetical protein
yaiI,STM14_0458,hypothetical protein
aroL,STM14_0459,shikimate kinase II
yaiA,STM14_0460,hypothetical protein
aroM,STM14_0461,hypothetical protein
yaiE,STM14_0462,hypothetical protein
rdgC,STM14_0463,recombination associated protein
,STM14_0464,hypothetical protein
yajF,STM14_0465,fructokinase
araJ,STM14_0466,protein AraJ
sbcC,STM14_0467,exonuclease subunit SbcC
sbcD,STM14_0468,exonuclease subunit SbcD
,STM14_0469,hypothetical protein
phoB,STM14_0470,transcriptional regulator PhoB
phoR,STM14_0471,phosphate regulon sensor protein
,STM14_0472,hypothetical protein
brnQ,STM14_0473,branched-chain amino acid transporter
proY,STM14_0474,putative proline-specific permease
malZ,STM14_0475,maltodextrin glucosidase
,STM14_0476,putative thiol-alkyl hydroperoxide reductase
yajB,STM14_0477,acyl carrier protein phosphodiesterase
queA,STM14_0478,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
,STM14_0479,DNA metabolism protein
tgt,STM14_0480,queuine tRNA-ribosyltransferase
yajC,STM14_0481,preprotein translocase subunit YajC
secD,STM14_0482,preprotein translocase subunit SecD
secF,STM14_0483,preprotein translocase subunit SecF
,STM14_0484,hypothetical protein
,STM14_0485,putative regulatory protein
yajD,STM14_0486,hypothetical protein
,STM14_0487,hypothetical protein
tsx,STM14_0489,nucleoside channel
yajI,STM14_0490,hypothetical protein
,STM14_0491,hypothetical protein
ybaD,STM14_0492,transcriptional regulator NrdR
ribD,STM14_0493,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
ribH,STM14_0494,riboflavin synthase subunit beta
nusB,STM14_0495,transcription antitermination protein NusB
thiL,STM14_0496,thiamine monophosphate kinase
pgpA,STM14_0497,phosphatidylglycerophosphatase A
,STM14_0498,hypothetical protein
yajO,STM14_0499,putative oxidoreductase
dxs,STM14_0500,1-deoxy-D-xylulose-5-phosphate synthase
ispA,STM14_0501,geranyltranstransferase
xseB,STM14_0502,exodeoxyribonuclease VII small subunit
thiI,STM14_0503,thiamine biosynthesis protein ThiI
phnV,STM14_0504,2-aminoethylphosphonate transporter
phnU,STM14_0505,2-aminoethylphosphonate transporter
phnT,STM14_0506,2-aminoethylphosphonate transporter
phnS,STM14_0507,2-aminoethylphosphonate transporter
phnR,STM14_0508,2-aminoethylphosphonate transport protein
,STM14_0509,hypothetical protein
phnW,STM14_0510,2-aminoethylphosphonate--pyruvate transaminase
phnX,STM14_0511,phosphonoacetaldehyde hydrolase
thiJ,STM14_0512,hypothetical protein
apbA,STM14_0513,2-dehydropantoate 2-reductase
yajQ,STM14_0514,nucleotide-binding protein
yajR,STM14_0515,putative transport protein
,STM14_0517,putative periplasmic protein
,STM14_0518,TPR repeat-containing protein
cyoE,STM14_0519,protoheme IX farnesyltransferase
cyoD,STM14_0520,cytochrome o ubiquinol oxidase subunit IV
cyoC,STM14_0521,cytochrome o ubiquinol oxidase subunit III
cyoB,STM14_0522,cytochrome o ubiquinol oxidase subunit I
cyoA,STM14_0523,cytochrome o ubiquinol oxidase subunit II
ampG,STM14_0524,muropeptide transporter
yajG,STM14_0525,hypothetical protein
,STM14_0526,hypothetical protein
bolA,STM14_0527,transcriptional regulator BolA
,STM14_0528,hypothetical protein
tig,STM14_0529,trigger factor
clpP,STM14_0530,ATP-dependent Clp protease proteolytic subunit
,STM14_0531,hypothetical protein
clpX,STM14_0532,ATP-dependent protease ATP-binding subunit
lon,STM14_0533,DNA-binding ATP-dependent protease La
hupB,STM14_0534,transcriptional regulator HU subunit beta
cypD,STM14_0535,peptidyl-prolyl cis-trans isomerase (rotamase D)
,STM14_0536,hypothetical protein
ybaV,STM14_0537,putative DNA uptake protein
ybaW,STM14_0538,putative esterase
ybaX,STM14_0539,queuosine biosynthesis protein QueC
ybaE,STM14_0540,putative ABC transporter periplasmic binding protein
cof,STM14_0541,putative hydrolase
,STM14_0542,putative cysteine synthase/cystathionine beta-synthase
ybaO,STM14_0543,putative transcriptional regulator
mdlA,STM14_0544,putative multidrug transporter membrane\ATP-binding component
mdlB,STM14_0545,putative multidrug transporter membrane\ATP-binding component
glnK,STM14_0546,nitrogen regulatory protein P-II 2
amtB,STM14_0547,ammonium transporter
tesB,STM14_0548,acyl-CoA thioesterase II
ybaY,STM14_0549,hypothetical protein
ybaZ,STM14_0550,putative methyltransferase
ylaB,STM14_0552,hypothetical protein
rpmE2,STM14_0553,50S ribosomal protein L31 type B
rpmJ_1,STM14_0554,50S ribosomal protein L36
ylaC,STM14_0555,putative inner membrane protein
maa,STM14_0556,maltose O-acetyltransferase
hha,STM14_0557,hemolysin expression-modulating protein
ybaJ,STM14_0558,hypothetical protein
acrB,STM14_0559,acridine efflux pump
acrA,STM14_0560,acridine efflux pump
acrR,STM14_0561,DNA-binding transcriptional repressor AcrR
,STM14_0562,hypothetical protein
aefA,STM14_0563,potassium efflux protein KefA
,STM14_0564,putative transposase
ybaM,STM14_0565,hypothetical protein
priC,STM14_0566,primosomal replication protein N''
ybaN,STM14_0567,hypothetical protein
apt,STM14_0568,adenine phosphoribosyltransferase
dnaX,STM14_0569,DNA polymerase III subunits gamma and tau
ybaB,STM14_0570,hypothetical protein
recR,STM14_0571,recombination protein RecR
htpG,STM14_0572,heat shock protein 90
,STM14_0573,hypothetical protein
adk,STM14_0574,adenylate kinase
,STM14_0575,hypothetical protein
hemH,STM14_0576,ferrochelatase
aes,STM14_0577,acetyl esterase
gsk,STM14_0578,inosine-guanosine kinase
ybaL,STM14_0579,putative cation:proton antiport protein
,STM14_0580,hypothetical protein
fsr,STM14_0581,putative transport protein
ushA,STM14_0582,bifunctional UDP-sugar hydrolase/5'-nucleotidase periplasmic precursor
ybaK,STM14_0583,hypothetical protein
ybaP,STM14_0584,putative cytoplasmic protein
,STM14_0585,putative periplasmic protein
copA,STM14_0586,copper exporting ATPase
cueR,STM14_0587,DNA-binding transcriptional regulator CueR
ybbJ,STM14_0588,hypothetical protein
ybbK,STM14_0589,putative inner membrane protein
ybbL,STM14_0590,putative ABC transporter ATP-binding protein YbbL
ybbM,STM14_0591,putative transport protein
ybbN,STM14_0592,putative thioredoxin protein
ybbO,STM14_0593,short chain dehydrogenase
tesA,STM14_0594,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1
ybbA,STM14_0595,putative ABC transporter ATP-binding protein YbbA
ybbP,STM14_0596,putative inner membrane protein
,STM14_0597,hypothetical protein
,STM14_0598,putative outer membrane protein
,STM14_0599,hypothetical protein
sfbA,STM14_0600,putative ABC-type transport system ATPase component
sfbB,STM14_0601,putative ABC-type transport system ATPase component
sfbC,STM14_0602,putative ABC transporter permease component
ybbB,STM14_0603,tRNA 2-selenouridine synthase
ybbS,STM14_0604,DNA-binding transcriptional activator AllS
allA,STM14_0605,ureidoglycolate hydrolase
allR,STM14_0606,DNA-binding transcriptional repressor AllR
gcl,STM14_0607,glyoxylate carboligase
gip,STM14_0608,hydroxypyruvate isomerase
glxR,STM14_0609,tartronic semialdehyde reductase
,STM14_0610,putative permease
ybbV,STM14_0611,putative cytoplasmic protein
allP,STM14_0612,allantoin permease
allB,STM14_0613,allantoinase
ybbY,STM14_0614,putative purine permease YbbY
glxK,STM14_0615,glycerate kinase II
ylbA,STM14_0616,hypothetical protein
allC,STM14_0617,allantoate amidohydrolase
allD,STM14_0618,ureidoglycolate dehydrogenase
fdrA,STM14_0619,membrane protein FdrA
ylbE,STM14_0620,putative cytoplasmic protein
ylbF,STM14_0621,putative cytoplasmic protein
arcC,STM14_0622,carbamate kinase
purK,STM14_0623,phosphoribosylaminoimidazole carboxylase ATPase subunit
purE,STM14_0624,phosphoribosylaminoimidazole carboxylase catalytic subunit
