Gene,Locus Tag,Protein
,STM0100,putative cytoplasmic protein
araD,STM0101,L-ribulose-5-phosphate 4-epimerase
araA,STM0102,L-arabinose isomerase
araB,STM0103,L-ribulokinase
araC,STM0104,transcriptional regulator (AraC/XylS family) for ara operon
yabI,STM0105,putative DedA family membrane protein
yabJ,STM0106,putative ABC-transport protein
yabK,STM0107,putative binding-protein-dependent transport system inner membrane component
tbpA,STM0108,thiamine-binding periplasmic protein
yabN,STM0109,putative periplasmic binding protein of transport system
leuD,STM0110,"3-isopropylmalate isomerase (dehydratase), subunit with LeuC"
leuC,STM0111,"3-isopropylmalate isomerase (dehydratase), subunit with LeuD"
leuB,STM0112,3-isopropylmalate dehydrogenase
leuA,STM0113,2-isopropylmalate synthase
leuL,STM0114,leu operon leader peptide
leuO,STM0115,putative LysR family transcriptional regulator
ilvI,STM0116,"valine sensitive acetolactate synthase III, large subunit"
ilvH,STM0117,"acetolactate synthase III, small subunit"
fruR,STM0118,transcriptional repressor of fru operon and others
yabB,STM0119,putative cytoplasmic protein
yabC,STM0120,putative S-adenosyl methionine adenyltransferase
ftsL,STM0121,cell division protein
ftsI,STM0122,division specific transpeptidase
murE,STM0123,"UDP-N-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase"
murF,STM0124,D-alanine:D-alanine-adding enzyme
mraY,STM0125,phospho-N-acetylmuramoyl-pentapeptide transferase
murD,STM0126,UDP-N-acetylmuramoylalanine-D-glutamate ligase
ftsW,STM0127,essential cell division gene
murG,STM0128,UDP-N-acetylglucosamine:N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
murC,STM0129,L-alanine adding enzyme
ddlB,STM0130,D-alanine-D-alanine ligase B
ftsQ,STM0131,cell division protein
ftsA,STM0132,ATP-binding cell division protein
ftsZ,STM0133,tubulin-like GTP-binding protein and GTPase
lpxC,STM0134,UDP-3-O-acyl N-acetylglucosamine deacetylase
yacA,STM0135,putative inner membrane protein
secA,STM0136,preprotein translocase; secretion protein of IISP family
mutT,STM0137,"7,8-dihydro-8-oxoguanine-triphosphatase"
yacG,STM0138,putative cytoplasmic protein
yacF,STM0139,putative cytoplasmic protein
yacE,STM0140,putative nucleotide kinase
guaC,STM0141,GMP reductase
hofC,STM0142,putative component in type IV pilin biogenesis
hofB,STM0143,putative integral membrane protein
ppdD,STM0144,prelipin peptidase dependent protein
nadC,STM0145,quinolinate phosphoribosyltransferase
ampD,STM0146,N-acetyl-anhydromuramyl-L-alanine amidase
ampE,STM0147,putative transmembrane protein
,STM0148,putative cytoplasmic protein
,STM0149,putative permease of the Na+:galactoside symporter family
aroP,STM0150,APC family aromatic amino acid transporter
pdhR,STM0151,transcriptional repressor for pyruvate dehydrogenase complex (GntR family)
aceE,STM0152,"pyruvate dehydrogenase, decarboxylase component"
aceF,STM0153,pyruvate dehydrogenase
lpdA,STM0154,lipoamide dehydrogenase (NADH)
,STM0155,putative outer membrane protein
,STM0156,putative periplasmic protein
yacH,STM0157,putative outer membrane protein
acnB,STM0158,aconitate hydratase 2
,STM0159,putative restriction endonuclease
yacL,STM0160,putative cytoplasmic protein
kdgT,STM0161,2-keto-3-deoxygluconate permease
,STM0162,putative inner membrane protein
,STM0163,pyridoxine phosphate biosynthetic protein
,STM0164,putative LysR family transcriptional regulator
speD,STM0165,"S-adenosylmethionine decarboxylase, proenzyme"
speE,STM0166,spermidine synthase
yacC,STM0167,putative periplasmic protein
cueO,STM0168,putative multicopper oxidase
gcd,STM0169,glucose dehydrogenase
hpt,STM0170,hypoxanthine phosphoribosyltransferase
yadF,STM0171,putative carbonic anhydrase
yadG,STM0172,"putative ABC-type multidrug transport system, ATPase component"
yadH,STM0173,putative transport protein
stiH,STM0174,putative fimbriae
stiC,STM0175,putative fimbrial usher
stiB,STM0176,putative fimbrial chaparone
stiA,STM0177,putative fimbrial subunit
yadI,STM0178,putative PTS enzyme
yadE,STM0179,putative xylanase/chitin deacetylase
panD,STM0180,aspartate 1-decarboxylase
panC,STM0181,pantothenate synthetase
panB,STM0182,3-methyl-2-oxobutanoate hydroxymethyltransferase
folK,STM0183,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase, PPPK"
pcnB,STM0184,poly(A) polymerase I
yadB,STM0185,putative glutamyl t-RNA synthetase
dksA,STM0186,dnaK suppressor protein
sfsA,STM0187,regulator for maltose metabolism
ligT,STM0188,2'-5' RNA ligase
hrpB,STM0189,ATP-dependent helicase
mrcB,STM0190,transpeptidase of penicillin-binding protein 1b
fhuA,STM0191,"outer membrane protein receptor / transporter for ferrichrome, colicin M, and phages T1, T5, and phi80"
fhuC,STM0192,hydroxymate-dependent iron transport
fhuD,STM0193,hydroxamate-dependent iron uptake
fhuB,STM0194,hydroxamate-dependent iron uptake
stfA,STM0195,putative fimbrial subunit
stfC,STM0196,putative fimbrial outer membrane usher
stfD,STM0197,putative periplasmic fimbrial chaperone
stfE,STM0198,putative minor fimbrial subunit
stfF,STM0199,putative minor fimbrial subunit
stfG,STM0200,putative minor fimbrial subunit
,STM0201,putative outer membrane protein
hemL,STM0202,glutamate-1-semialdehyde aminotransferase
yadQ,STM0203,putative ClC family chlorine transport protein
yadR,STM0204,putative HesB-like domain protein
yadS,STM0205,putative inner membrane protein
btuF,STM0206,putative cobalamin periplasmic binding protein
pfs,STM0207,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
dgt,STM0208,deoxyguanosine triphosphate triphosphohydrolase
htrA,STM0209,"periplasmic serine protease Do, heat shock protein"
cdaR,STM0210,putative inner membrane protein
yaeH,STM0211,putative cytoplasmic protein
,STM0212,putative inner membrane protein
dapD,STM0213,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"
glnD,STM0214,uridylyltransferase
map,STM0215,methionine aminopeptidase
rpsB,STM0216,30S ribosomal subunit protein S2
tsf,STM0217,protein chain elongation factor EF-Ts
pyrH,STM0218,uridylate kinase
frr,STM0219,ribosome releasing factor
dxr,STM0220,1-deoxy-D-xylulose 5-phosphate reductoisomerase
uppS,STM0221,"undecaprenyl pyrophosphate synthetase (di-trans, poly-cis-decaprenylcistransferase)"
cdsA,STM0222,CDP-diglyceride synthase
yaeL,STM0223,putative membrane-associated Zn-dependent protease
yaeT,STM0224,putative outer membrane antigen
hlpA,STM0225,"histone-like protein, located in outer membrane"
lpxD,STM0226,UDP-3-O-(3-hydroxymyristoyl)-glucosamine n-acyltransferase
fabZ,STM0227,(3R)-hydroxymyristol acyl carrier protein dehydratase
lpxA,STM0228,UDP-N-acetylglucosamine acetyltransferase
lpxB,STM0229,tetraacyldisaccharide-1-P
rnhB,STM0230,RNAse HII
dnaE,STM0231,"DNA polymerase III, alpha subunit"
accA,STM0232,"acetylCoA carboxylase, carboxytransferase component, alpha subunit"
,STM0233,putative endochitinase
ldcC,STM0234,"lysine decarboxylase 2, constitutive"
yaeR,STM0235,putative lactoylglutathione lyase
mesJ,STM0236,cell cycle protein
rof,STM0237,modulator of Rho-dependent transcription termination
yaeP,STM0238,putative cytoplasmic protein
yaeQ,STM0239,putative cytoplasmic protein
yaeJ,STM0240,putative-tRNA hydrolase domain protein
proS,STM0242,proline tRNA synthetase
yaeB,STM0243,putative regulator
rcsF,STM0244,regulator in colanic acid synthesis
yaeC,STM0245,putative outer membrane lipoprotein
yaeE,STM0246,putative ABC superfamily (membrane) transport protein
abc,STM0247,putative ABC superfamily (atp_bind) transport system
yaeD,STM0248,putative dehydratase
yafB,STM0255,"2,5-diketo-D-gluconate reductase B"
yafC,STM0256,putative LysR family transcriptional regulator
,STM0257,putative drug efflux protein (perhaps for chloramphenicol)
yafD,STM0258,putative cytoplasmic protein
yafE,STM0259,putative methyltransferase in menaquinone/biotin biosynthesis
dniR,STM0260,transcriptional regulator for nitrite reductase (cytochrome c552)
gloB,STM0261,hydroxyacylglutathione hydrolase
yafS,STM0262,putative SAM-dependent methyltransferase
rnhA,STM0263,RNase HI
dnaQ,STM0264,"DNA polymerase III, epsilon subunit"
,STM0266,putative cytoplasmic protein
,STM0267,putative cytoplasmic protein
,STM0268,putative cytoplasmic protein
,STM0269,putative cytoplasmic protein
,STM0270,putative cytoplasmic protein
,STM0271,putative cytoplasmic protein
,STM0272,putative ATPase with chaperone activity
,STM0273,putative cytoplasmic protein
,STM0274,putative cytoplasmic protein
,STM0274A,invasol SirA
,STM0275,putative cytoplasmic protein
,STM0276,putative cytoplasmic protein
,STM0277,putative cytoplasmic protein
,STM0278,putative periplasmic protein
,STM0279,putative cytoplasmic protein
,STM0280,putative outer membrane lipoprotein
,STM0281,putative cytoplasmic protein
,STM0282,"putative outer membrane protein, OmpA family"
,STM0283,putative inner membrane protein
,STM0284,putative shiga-like toxin A subunit
,STM0285,putative inner membrane protein
,STM0286,putative cytoplasmic protein
,STM0287,putative periplasmic protein
,STM0288,putative cytoplasmic protein
,STM0289,putative cytoplasmic protein
,STM0290,putative cytoplasmic protein
,STM0291,putative RHS-family protein
,STM0292,putative RHS-family protein
,STM0293,putative cytoplasmic protein
,STM0294,putative cytoplasmic protein
,STM0295,putative cytoplasmic protein
,STM0296,putative cytoplasmic protein
,STM0297,putative transposase
,STM0298,putative integrase core domain protein
safA,STM0299,putative outer membrane protein
safB,STM0300,putative fimbriae assembly chaparone
safC,STM0301,putative fimbriae usher
safD,STM0302,putative fimbriae subunit
ybeJ,STM0303,putative xylanase/chitin deacetylase
sinR,STM0304,transcriptional regulator
,STM0305,putative cytoplasmic protein
,STM0306,homolog of sapA
,STM0307,homology to Shigella VirG protein
yafV,STM0308,putative amidohydrolase
yafH,STM0309,putative acyl-CoA dehydrogenase
ghmA,STM0310,phosphoheptose isomerase
yafJ,STM0311,putative glutamine amidotransferase
yafK,STM0312,putative periplasmic protein
dinP,STM0313,DNA polymerase IV
prfH,STM0315,putative peptide chain release factor
pepD,STM0316,aminoacyl-histidine dipeptidase (peptidase D)
gpt,STM0317,guanine-hypoxanthine phosphoribosyltransferase
yafA,STM0318,putative hydrolase of the alpha/beta superfamily
crl,STM0319,transcriptional regulator of cryptic csgA gene for curli surface fibers
phoE,STM0320,"outer membrane pore protein e (e,ic,nmpab)"
proB,STM0321,gamma-glutamate kinase
proA,STM0322,gamma-glutamylphosphate reductase
,STM0324,putative inner membrane protein
,STM0325,putative IS3 transposase
,STM0327,putative cytoplasmic protein
,STM0328,putative permease
,STM0329,putative 3-isopropylmalate isomerase
,STM0330,"putative 3-isopropylmalate isomerase (dehydratase), subunit with LeuC"
,STM0331,putative fumarylacetoacetate (FAA) hydrolase
,STM0332,putative hydrolase or acyltransferase
,STM0333,putative LysR family transcriptional regulator
,STM0334,putative cytoplasmic protein
,STM0335,putative outer membrane protein
stbE,STM0336,putative fimbriae; chaparone
stbD,STM0337,putative fimbriae; usher
stbC,STM0338,putative fimbriae; usher
stbB,STM0339,putative fimbriae; chaparone
stbA,STM0340,putative fimbriae; major subunit
,STM0341,putative inner membrane protein
,STM0342,putative periplasmic protein
,STM0343,putative diguanylate cyclase/phosphodiesterase domain 1
,STM0344,putative response regulator
,STM0345,putative inner membrane protein
,STM0346,putative outer membrane protein; homolog of ail and ompX
,STM0347,putative response regulator
,STM0348,putative inner membrane protein
,STM0349,putative outer membrane lipoprotein
,STM0350,homology to outer membrane efflux protein
,STM0351,putative cation efflux system protein
,STM0352,putative cation efflux pump
,STM0353,putative cation transport ATPase
,STM0354,putative transcriptional regulator
,STM0355,putative copper chaperone
,STM0356,putative inner membrane protein
mod,STM0357,DNA methylase; restriction system
res,STM0358,DNA restriction (DNA helicase)
,STM0359,putative cytoplasmic protein
,STM0360,cytochrome BD2 subunit I
,STM0361,cytochrome BD2 subunit II
,STM0362,putative cytoplasmic protein
,STM0363,"putative transcription regulator, AraC family"
foxA,STM0364,ferrioxamine receptor
yahN,STM0365,putative transport protein
yahO,STM0366,putative periplasmic protein
prpR,STM0367,regulator for prp operon (EBP family)
prpB,STM0368,putative carboxyphosphonoenolpyruvate mutase
prpC,STM0369,putative citrate synthase
prpD,STM0370,putative protein in propionate catabolism
prpE,STM0371,"putative acetyl-CoA synthetase, propionate catabolism operon"
hemB,STM0372,5-aminolevulinate dehydratase (porphobilinogen synthase)
yaiU,STM0373,flagellar protein
yaiV,STM0374,putative inner membrane protein
ampH,STM0375,penicillin- binding protein
sbmA,STM0376,putative ABC superfamily transporter
yaiW,STM0377,putative outer membrane lipoprotein
yaiY,STM0378,putative inner membrane protein
yaiZ,STM0379,putative inner membrane protein
ddlA,STM0380,D-alanine-D-alanine ligase A
,STM0381,putative inner membrane protein
,STM0382,putative permease
yaiB,STM0383,putative cytoplasmic protein
psiF,STM0384,induced by phosphate starvation
yaiC,STM0385,putative diguanylate cyclase/phosphodiesterase domain 1
proC,STM0386,pyrroline-5-carboxylate reductase
yaiI,STM0387,putative cytoplasmic protein
aroL,STM0388,shikimate kinase II
yaiA,STM0389,putative cytoplasmic protein
aroM,STM0390,"protein of aro operon, regulated by aroR"
yaiE,STM0391,putative cytoplasmic protein
rdgC,STM0392,putative exonuclease involved in removal of stalled replication fork
yajF,STM0393,putative sugar kinase/putative transcriptional regulator (NagC/XylR family)
araJ,STM0394,"MFS family, arabinose polymer transporter"
sbcC,STM0395,ATP-dependent dsDNA exonuclease
sbcD,STM0396,ATP-dependent dsDNA exonuclease
phoB,STM0397,response regulator in two-component regulatory system with PhoR (or CreC)
phoR,STM0398,"sensory kinase in two-component regulatory system with PhoB, regulates pho regulon"
brnQ,STM0399,"LIVCS family, branched chain amino acid transporter system II (LIV-II)"
proY,STM0400,"putative APC family, proline transporter"
malZ,STM0401,maltodextrin glucosidase
,STM0402,putative thiol - alkyl hydroperoxide reductase
yajB,STM0403,putative cytoplasmic protein
queA,STM0404,S-adenosylmethionine-tRNA ribosyltransferase-isomerase
tgt,STM0405,tRNA-guanine transglycosylase
yajC,STM0406,"preprotein translocase IISP family, membrane subunit"
secD,STM0407,"preprotein translocase, IISP family, part of the channel"
secF,STM0408,"preprotein translocase, IISP family, membrane subunit"
,STM0409,hypothetical protein
,STM0410,putative regulatory protein
yajD,STM0411,putative cytoplasmic protein
,STM0412,putative inner membrane protein
tsx,STM0413,nucleoside channel; receptor of phage T6 and colicin K
yajI,STM0414,putative outer membrane lipoprotein
ybaD,STM0415,putative transcriptional regulator
ribD,STM0416,pyrimidine deaminase
ribH,STM0417,"riboflavin synthase, beta chain"
nusB,STM0418,transcription termination; L factor
thiL,STM0419,thiamin-monophosphate kinase
pgpA,STM0420,phosphatidylglycerophosphatase A
yajO,STM0421,putative oxidoreductase / K + channel protein
dxs,STM0422,1-deoxyxylulose-5-phosphate synthase; flavoprotein
ispA,STM0423,geranyltranstransferase (farnesyldiphosphate synthase)
xseB,STM0424,"exonuclease VII, small subunit"
thiI,STM0425,sulfur transfer protein (from cys to ThiS and from IscS to U8-tRNA)
phnV,STM0426,"2-aminoethylphosphonate transporter, memrane component"
phnU,STM0427,"2-aminoethylphosphonate transporter, memrane component"
phnT,STM0428,2-aminoethylphosphonate transporter ATPase component
phnS,STM0429,"2-aminoethylphosphonate transporter, periplasmic-binding component"
phnR,STM0430,"2-aminoethylphosphonate transport, repressor"
phnW,STM0431,2-aminoethylphosphonate transport
phnX,STM0432,2-aminoethylphosphonate transport
thiJ,STM0433,4-methyl-5(beta-hydroxyethyl)-thiazole synthesis
apbA,STM0434,ketopantoate reductase
yajQ,STM0435,putative cytoplasmic protein
yajR,STM0436,putative MFS family transporter
,STM0436A,IS903 transposase
,STM0437,putative periplasmic protein
,STM0438,putative TPR repeat protein
cyoE,STM0439,protohaeme IX farnesyltransferase (haeme O biosynthesis)
cyoD,STM0440,cytochrome o ubiquinol oxidase subunit IV
cyoC,STM0441,cytochrome o ubiquinol oxidase subunit III
cyoB,STM0442,cytochrome o ubiquinol oxidase subunit I
cyoA,STM0443,cytochrome o ubiquinol oxidase subunit II
ampG,STM0444,"MFS family, muropeptide transporter"
yajG,STM0445,putative lipoprotein
bolA,STM0446,morphogene; putative regulator of murein genes (BolA family)
tig,STM0447,peptidyl-prolyl cis/trans isomerase
clpP,STM0448,proteolytic subunit of clpA-clpP ATP-dependent serine protease
clpX,STM0449,"specificity component of clpA-clpP ATP-dependent serine protease, chaperone"
lon,STM0450,DNA-binding protein
hupB,STM0451,"DNA-binding protein HU-beta, NS1 (HU-1)"
cypD,STM0452,peptidyl prolyl isomerase
ybaV,STM0453,putative DNA uptake protein and related DNA-binding proteins
ybaW,STM0454,putative esterase
ybaX,STM0455,putative (aluminum) resistance protein
ybaE,STM0456,putative ABC transporter periplasmic binding protein
cof,STM0457,putative hydrolase
,STM0458,putative cysteine synthase/cystathionine beta-synthase
ybaO,STM0459,putative transcriptional regulator (AsnC family)
mdlA,STM0460,putative ABC superfamily (atp) transporter
mdlB,STM0461,putative ABC superfamily (atp&membrane) transporter
glnK,STM0462,regulatory protein P-II 2
amtB,STM0463,"putative Amt family, ammonium transport protein"
tesB,STM0464,acyl-CoA thioesterase II
ybaY,STM0465,glycoprotein/polysaccharide metabolism
ybaZ,STM0466,putative methyltransferase
ylaB,STM0468,putative diguanylate cyclase/phosphodiesterase domain 2
rpmE2,STM0469,putative 50S ribosomal protein L31 (second copy)
rpmJ2,STM0470,putative 50S ribosomal protein L36 (second copy)
ylaC,STM0471,putative inner membrane protein
maa,STM0472,maltose o-acetyltransferase
hha,STM0473,hemolysin expression modulating protein (involved in environmental regulation of virulence factors)
ybaJ,STM0474,putative cytoplasmic protein
acrB,STM0475,"RND family, acridine efflux pump"
acrA,STM0476,acridine efflux pump
acrR,STM0477,acrAB operon repressor (TetR/AcrR family)
aefA,STM0478,putative small-conductance mechanosensitive channel
,STM0479,putative transposase
ybaM,STM0480,putative inner membrane protein
priC,STM0481,primosomal replication protein N
ybaN,STM0482,putative phage gene 58
apt,STM0483,adenine phosphoribosyltransferase
dnaX,STM0484,"DNA polymerase III, tau and gamma subunits"
ybaB,STM0485,putative cytoplasmic protein
recR,STM0486,"putative recombination protein, gap repair"
htpG,STM0487,"chaperone Hsp90, heat shock protein C 62.5"
adk,STM0488,adenylate kinase
hemH,STM0489,ferrochelatase
aes,STM0490,acetyl esterase
gsk,STM0491,inosine-guanosine kinase
ybaL,STM0492,putative CPA2 family transport protein
fsr,STM0493,putative MFS family of transport protein
ushA,STM0494,UDP-sugar hydrolase 5'-nucleotidase
ybaK,STM0495,putative cytoplasmic protein
ybaP,STM0496,putative cytoplasmic protein
,STM0497,putative periplasmic protein
copA,STM0498,putative copper-transporting ATPase
cueR,STM0499,putative heavy metal transcriptional repressor (MerR family)
ybbJ,STM0500,putative membrane protein implicated in regulation of membrane protease activity
ybbK,STM0501,putative inner membrane protein
ybbL,STM0502,"putative ABC-type sugar/spermidine/putrescine transport system, ATPase component"
ybbM,STM0503,"putative YbbM family transport protein, metal resistance protein"
ybbN,STM0504,putative thioredoxin protein
ybbO,STM0505,putative oxidoreductase
tesA,STM0506,"multifunctional acyl-CoA thioesterase I; also functions as protease I, lysophospholipaseL(I)"
ybbA,STM0507,putative ABC superfamily (atp_bind) transporter
ybbP,STM0508,putative inner membrane protein
,STM0509,putative outer membrane protein
sfbA,STM0510,putative ABC-type transport system ATPase component/cell division protein
sfbB,STM0511,putative ABC-type transport system ATPase component/cell division protein
sfbC,STM0512,putative binding-protein-dependent transport systems inner membrane component
ybbB,STM0513,putative ATPase
ybbS,STM0514,putative LysR family transcriptional regulator
allA,STM0515,ureidoglycolate hydrolase
allR,STM0516,putative regulatory protein
gcl,STM0517,glyoxylate carboligase
gip,STM0518,glyoxylate -induced protein
glxR,STM0519,tartronic semialdehyde reductase
,STM0520,putative permease
ybbV,STM0521,putative cytoplasmic protein
allP,STM0522,"putative NCS1 family, allantoin transport protein"
allB,STM0523,allantoinase
ybbY,STM0524,putative transport protein
glxK,STM0525,glycerate kinase II
ylbA,STM0526,putative glyoxylate utilization
allC,STM0527,allantoate amidohydrolase
allD,STM0528,ureidoglycolate dehydrogenase
fdrA,STM0529,"putative acyl-CoA synthetase, involved in protein transport"
ylbE,STM0530,putative cytoplasmic protein
ylbF,STM0531,putative cytoplasmic protein
arcC,STM0532,putative carbamate kinase
purK,STM0533,"phosphoribosylaminoimidazole carboxylase = AIR carboxylase, CO(2)-fixing subunit"
purE,STM0534,"phosphoribosylaminoimidazole carboxylase = AIR carboxylase, catalytic subunit"
lpxH,STM0535,"UDP-2,3-diacylglucosamine hydrolase"
ppiB,STM0536,peptidyl-prolyl cis-trans isomerase B (rotamase B)
cysS,STM0537,cysteine tRNA synthetase
,STM0538,putative outer membrane protein
,STM0539,putative inner membrane protein
ybcI,STM0540,putative membrane-bound metal-dependent hydrolases
ybcJ,STM0541,putative cytoplasmic protein
folD,STM0542,"5,10-methylene-tetrahydrofolate dehydrogenase"
fimA,STM0543,major type 1 subunit fimbrin (pilin)
fimI,STM0544,fimbrial protein internal segment
fimC,STM0545,"periplasmic chaperone, required for type 1 fimbriae"
fimD,STM0546,outer membrane usher protein
fimH,STM0547,minor fimbrial subunit
fimF,STM0548,putative fimbrial protein
fimZ,STM0549,fimbrial protein Z
fimY,STM0550,putative regulatory protein
,STM0551,putative diguanylate cyclase/phosphodiesterase domain 0
fimW,STM0552,putative fimbrial protein
,STM0554,homology to integrase protein of phage
,STM0556,putative transposase
,STM0557,putative inner membrane protein
yfdH,STM0558,putative glycosyltransferase
rfbI,STM0559,putative glycosyl translocase
,STM0561,sensor protein
,STM0562,putative transport protein
,STM0563,putative transcriptional regulator (AraC/XylS family)
,STM0564,putative oxidoreductase
,STM0565,putative periplasmic protein
,STM0566,putative inner membrane protein
,STM0567,putative ATPase involved in DNA repair
pheP,STM0568,"APC family, phenylalanene transporter"
ybdG,STM0569,putative transport
apeE,STM0570,outer membrane N-acetyl phenylalanine beta-naphthyl ester-cleaving esterase
,STM0571,putative inner membrane protein
,STM0572,putative phosphosugar isomerases
,STM0573,putative inner membrane protein
,STM0574,"putative transport protein, PTS system"
,STM0575,putative inner membrane protein
,STM0576,"putative transport protein, PTS system"
,STM0577,"putative transport protein, PTS system"
nfnB,STM0578,dihydropteridine reductase
ybdF,STM0579,putative cytoplasmic protein
,STM0580,putative regulatory protein
,STM0581,putative regulatory protein
ybdJ,STM0582,putative inner membrane protein
ybdK,STM0583,putative cytoplasmic protein
entD,STM0584,"enterochelin synthetase, component D (phoshpantetheinyltransferase)"
fepA,STM0585,"outer membrane porin, receptor for ferric enterobactin (enterochelin) and colicins B and D"
fes,STM0586,enterochelin esterase
ybdZ,STM0587,putative cytoplasmic protein
entF,STM0588,"enterobactin synthetase, component F (nonribosomal peptide synthetase)"
fepE,STM0589,ferric enterobactin (enterochelin) transporter
fepC,STM0590,enterobactin transporter
fepG,STM0591,ferric enterobactin transporter
fepD,STM0592,ferric enterobactin (enterochelin) transporter
ybdA,STM0593,putative POT family transport protein
fepB,STM0594,ferric enterobactin (enterochelin) transporter
entC,STM0595,"isochorismate synthetase, enterochelin biosynthesis"
entE,STM0596,"2,3-dihydroxybenzoate-AMP ligase"
entB,STM0597,"2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochorismatase"
entA,STM0598,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
